Name,Auto,Heating,Concentration,Batch,Sample,Trial,Thickness,Elastic Modulus,Yield Strength,Creep Strain,Plateau Slope,Densification Slope,Changepoint,Fit,Average Standard Deviation
Auto_Noheating_15_34_1_3,True,False,15.0,34,1,3,134.1628,161.41058976538855,27.011064931038717,0.02783036728511923,104.36921073407413,1057.434509424339,0.6201331430290774,True,54.96002117640876
Auto_Noheating_15_34_1_4,True,False,15.0,34,1,4,144.01799999999997,168.6437293720376,27.492089969275685,0.02821869488536155,108.78319855560153,1071.008712766471,0.5870089225503062,True,54.96002117640876
Auto_Noheating_17_34_1_1,True,False,17.0,34,1,1,113.9952,218.0964537689275,16.240013343165096,0.042112299465240643,139.76298243721462,831.0932895990269,0.5732828645673291,False,50.07096160159485
Auto_Noheating_17_34_1_2,True,False,17.0,34,1,2,118.92280000000001,230.44121577427245,22.388530039424886,0.04527979495941903,179.65519438882347,746.0892507988617,0.5152152162142914,False,50.07096160159485
Auto_Noheating_17_34_1_3,True,False,17.0,34,1,3,125.3998,236.86390162942055,16.040328444250946,0.04010532712173376,205.38038912928948,861.6922822836988,0.5043368279772144,True,50.07096160159485
Manual_Noheating_10_35_1_1,False,False,10.0,35,1,1,119.81179999999999,58.65649831099273,7.98810797449684,0.014627941488234208,13.45803257031248,1687.318873624679,0.9450659207948319,True,61.28712471533423
Manual_Noheating_10_35_1_2,False,False,10.0,35,1,2,123.8504,73.70033767625362,9.110975100759836,0.011484823625922846,13.655031757470226,1774.0745117119652,0.9512730032805857,True,61.28712471533423
Manual_Noheating_10_35_1_3,False,False,10.0,35,1,3,115.9764,89.72501951895218,11.359257268897672,0.0113885238720981,13.762368280219142,1730.590609429189,0.9651638725389903,True,61.28712471533423
Manual_Noheating_10_35_1_4,False,False,10.0,35,1,4,111.91239999999999,95.8846356534465,11.856752364425478,0.01475261007716755,16.115218131919796,1689.2903454544235,0.9622118868078444,False,61.28712471533423
Manual_Noheating_12_35_1_1,False,False,12.0,35,1,1,127.91439999999999,74.79470396929581,62.92997500019625,0.01707704527402709,51.558912818903615,1400.131523139026,0.9215345269446451,False,52.99811165387539
Manual_Noheating_12_35_1_2,False,False,12.0,35,1,2,123.41859999999998,96.29798681708743,70.21272743191818,0.028400905536118626,64.57882406279707,1258.9806908425082,0.8532369922310071,True,52.99811165387539
Manual_Noheating_12_35_1_3,False,False,12.0,35,1,3,123.97739999999999,114.94718006175805,64.54024252243907,0.019463224749026842,-4.629903868796252,1050.24103761243,0.6824980880192947,True,52.99811165387539
Manual_Noheating_15_35_1_1,False,False,15.0,35,1,1,129.87019999999998,94.62760953070386,62.37530353718351,0.03207510267944447,19.307625916668222,1067.9225730500402,0.8311461243801994,True,52.00037042433514
